longgonegal, Sat Feb 06 01:41:10 +0000 2021, -96.734900, 33.061243, @HusseinErdem @ShaniaTwain So Yesterday....under JOE BIDEN'S PRESIDENCY 5100 PPL DIED DUE TO COVID. 
WrightSince86, Sat Feb 06 01:41:13 +0000 2021, -118.411907, 34.020789, While we play this “Biden promised me $2000 but I’m only getting $1400” game people are playing, I’m gonna run it l… https://t.co/CN6UgqWxTB 
AmyPredsfan, Sat Feb 06 01:41:20 +0000 2021, -86.791549, 36.200008, *** Looking at you, @Titans , @NissanStadium 
Heerak4Congress, Sat Feb 06 01:41:30 +0000 2021, -77.101999, 38.880845, It suck to lose, no?Winning is everything in America.Nothing else matters.Win at all cost &amp; by any means!Tr… https://t.co/fII8HZNlUx 
StaceyScott_CWS, Sat Feb 06 01:41:36 +0000 2021, -117.688770, 33.469634, Intelligence goodness 
BigmanLefty, Sat Feb 06 01:41:50 +0000 2021, -98.520057, 33.926420, Dad is gonna be pissed 
jimwoodrum, Sat Feb 06 01:42:02 +0000 2021, -121.439383, 38.410428, the guy is a retard! 
rlparker47, Sat Feb 06 01:42:05 +0000 2021, -83.173867, 32.678207, Anyone that voted for that demented old fool knows nothing about anything. I’m surprised they can breathe. 
Shieldk2, Sat Feb 06 01:42:21 +0000 2021, -120.529760, 46.594223, bUt Biden Inc. iS iN ThE whITe HouSE 
williamsonhj, Sat Feb 06 01:42:23 +0000 2021, -111.635149, 35.182750, Biden Pandemic Strategy Puts Focus On People With Disabilities https://t.co/vYw24bHxS7 
CocktailKarolyn, Sat Feb 06 01:42:44 +0000 2021, -83.804475, 27.698682, @NYTupelo7 @CBSEveningNews @CBSNews @NorahODonnell @CBS Apparently @NYTupelo7 you did not pay attention much as no… https://t.co/YIdPWja2PG 
HCorderoGuzman, Sat Feb 06 01:42:47 +0000 2021, -73.968542, 40.780709, Shorting Larry ... Jared for the win! 
MelanieEresman, Sat Feb 06 01:42:50 +0000 2021, -114.087851, 51.027664, 😂😂😂 is this seriously an article??? You must really miss Trump. 
WrightSince86, Sat Feb 06 01:43:08 +0000 2021, -118.411907, 34.020789, @AMLightningGem I keep forgetting that first check was $1200. Well, Biden’s 200 short 
KimSpang, Sat Feb 06 01:43:19 +0000 2021, -111.787120, 34.858280, 🙌🏼 
deuceohsixx, Sat Feb 06 01:43:57 +0000 2021, -122.330602, 47.614817, WASHINGTON (AP) — Pres Joe Biden laid out his case Friday for moving fast to pass $1.9 trillion in coronavirus reli… https://t.co/hdV1GtEcjg 
iloanya1, Sat Feb 06 01:44:37 +0000 2021, -100.076888, 31.168893, Short #BidenI don’t trust that fker ! We don’t know whose team he’s playing for 
